line_item_id,event_date_local,impressions,clicks,media_cost_usd,billing_month
LI-5105,2026-04-20,6892,3,18.07,2026-04
LI-5008,2026-06-14,7613,6,18.61,2026-06
LI-5102,2026-05-20,6511,3,20.34,2026-05
LI-5106,2026-05-19,9405,19,27.5,2026-05
LI-5101,2026-06-02,8584,6,24.9,2026-06
LI-5015,2026-04-17,13712,15,39.7,2026-04
LI-5102,2026-04-16,6516,5,18.84,2026-04
LI-5004,2026-06-13,25843,43,100.54,2026-06
LI-5009,2026-05-25,26391,42,59.41,2026-05
LI-5105,2026-05-12,8193,9,23.44,2026-05
LI-5106,2026-04-08,9730,12,36.69,2026-04
LI-5009,2026-06-03,30732,51,66.06,2026-06
LI-5106,2026-06-12,7144,6,25.71,2026-06
LI-5011,2026-06-06,10083,16,31.33,2026-06
LI-5006,2026-05-03,63022,111,103.51,2026-05
LI-5001,2026-06-10,50904,41,87.61,2026-06
LI-5002,2026-04-18,-14191,16,52.44,2026-04
LI-5004,2026-06-15,30669,39,92.46,2026-06
LI-5012,2026-04-16,24449,17,78.53,2026-04
LI-5001,2026-05-17,47900,68,180.04,2026-05
LI-5003,2026-06-11,20392,42,66.68,2026-06
LI-5009,2026-06-28,27454,42,73.86,2026-06
LI-5009,2026-06-10,23128,30,94.27,2026-06
LI-5003,2026-05-01,20673,8,43.88,2026-05
LI-5011,2026-04-01,4462,5,7.32,2026-04
LI-5013,2026-04-06,5167,4,17.06,2026-04
LI-5006,2026-04-29,43984,91,177.81,2026-04
LI-5001,2026-06-27,54064,28,207.01,2026-06
LI-5015,2026-06-15,14874,21,45.21,2026-06
LI-5101,2026-04-16,5968,11,17.57,2026-04
LI-5101,2026-06-10,8440,14,29.36,2026-06
LI-5012,2026-06-08,20108,11,79.19,2026-06
LI-5101,2026-06-07,7899,3,16.53,2026-06
LI-5102,2026-05-31,9063,10,34.58,2026-05
LI-5012,2026-05-09,18661,33,56.27,2026-05
LI-5011,2026-06-18,6440,3,15.5,2026-06
LI-5009,2026-04-19,20749,42,54.2,2026-04
LI-5007,2026-06-05,10927,20,29.37,2026-06
LI-5003,2026-04-28,11611,21,31.31,2026-04
LI-5001,2026-05-21,51749,75,99.92,2026-05
LI-5008,2026-05-14,9355,9,36.66,2026-05
LI-5104,2026-04-26,3241,5,7.39,2026-04
LI-5106,2026-04-23,8817,6,23.97,2026-04
LI-5102,2026-06-02,7391,4,16.94,2026-06
LI-5006,2026-05-29,57957,75,128.77,2026-05
LI-5015,2026-04-18,11419,5,24.67,2026-04
LI-5103,2026-04-02,3013,5,6.45,2026-04
LI-5013,2026-06-10,4634,8,9.37,2026-06
LI-5012,2026-06-20,17706,36,47.4,2026-06
LI-5102,2026-04-23,7878,5,22.97,2026-04
LI-5014,2026-06-26,20322,17,43.45,2026-06
LI-5014,2026-04-09,11166,9,26.51,2026-04
LI-5010,2026-06-09,48086,83,78.96,2026-06
LI-5005,2026-06-09,3472,5,10.57,2026-06
LI-5013,2026-06-04,5076,4,12.83,2026-06
LI-5105,2026-06-11,7612,7,17.08,2026-06
LI-5012,2026-04-06,29654,47,78.0,2026-04
LI-5015,2026-05-15,8632,12,18.45,2026-05
LI-5101,2026-04-09,6005,10,16.71,2026-04
LI-5103,2026-06-22,3135,2,9.36,2026-06
LI-5103,2026-06-11,4913,4,17.81,2026-06
LI-5015,2026-06-30,9732,9,22.29,2026-06
LI-5011,2026-04-29,8007,15,19.66,2026-04
LI-5104,2026-06-07,3122,2,9.57,2026-06
LI-5011,2026-06-24,9687,4,26.38,2026-06
LI-5007,2026-04-29,12738,21,24.09,2026-04
LI-5014,2026-05-07,12641,5,37.74,2026-05
LI-5106,2026-06-18,10598,15,32.25,2026-06
LI-5011,2026-05-24,7823,4,17.64,2026-05
LI-5106,2026-04-29,11437,10,33.26,2026-04
LI-5006,2026-06-06,45391,25,166.14,2026-06
LI-5012,2026-05-03,15825,10,61.91,2026-05
LI-5101,2026-04-30,8515,12,18.37,2026-05
LI-5012,2026-04-09,26489,29,45.49,2026-04
LI-5101,2026-06-26,8184,11,17.21,2026-06
LI-5105,2026-04-26,6417,13,22.97,2026-04
LI-5015,2026-05-24,11266,20,38.57,2026-05
LI-5009,2026-04-08,25265,50,105.38,2026-04
LI-5012,2026-04-21,12197,14,50.3,2026-04
LI-5009,2026-05-30,14798,15,48.22,2026-05
LI-5009,2026-05-28,21200,22,54.28,2026-05
LI-5009,2026-05-26,17387,33,28.88,2026-05
LI-5105,2026-04-22,4137,1,12.91,2026-04
LI-5011,2026-05-08,6867,8,11.87,2026-05
LI-5014,2026-05-16,14001,15,36.9,2026-05
LI-5105,2026-05-23,6755,9,23.25,2026-05
LI-5105,2026-06-04,7740,7,29.59,2026-06
LI-5106,2026-05-27,9723,11,24.31,2026-05
LI-5106,2026-04-09,5546,10,18.8,2026-04
LI-5014,2026-05-23,15330,18,41.11,2026-05
LI-5004,2026-06-09,22621,23,47.66,2026-06
LI-5103,2026-05-25,5033,8,9.23,2026-05
LI-5009,2026-06-26,18300,10,69.13,2026-06
LI-5101,2026-04-12,9924,19,37.43,2026-04
LI-5104,2026-04-16,3461,2,10.85,2026-04
LI-5005,2026-06-07,5062,7,20.44,2026-06
LI-5013,2026-04-07,4401,3,13.02,2026-04
LI-5103,2026-06-27,5765,4,20.56,2026-06
LI-5101,2026-04-14,9896,20,29.82,2026-04
LI-5011,2026-05-18,8286,16,21.13,2026-05
LI-5016,2026-06-26,28585,54,80.49,2026-06
LI-5999,2026-04-13,35798,42,148.38,2026-04
LI-5101,2026-06-03,8750,10,31.42,2026-06
LI-5014,2026-06-25,17329,7,31.89,2026-06
LI-5015,2026-06-13,10422,11,38.16,2026-06
LI-5105,2026-06-27,5243,6,15.38,2026-06
LI-5101,2026-04-28,7563,10,24.52,2026-04
LI-5103,2026-04-06,3961,6,15.64,2026-04
LI-5007,2026-04-28,7878,10,24.77,2026-04
LI-5009,2026-05-09,11244,9,45.44,2026-05
LI-5005,2026-06-01,6927,8,26.64,2026-06
LI-5013,2026-04-05,5170,8,12.75,2026-04
LI-5011,2026-04-26,7620,14,13.1,2026-04
LI-5005,2026-06-14,8309,9,21.56,2026-06
LI-5106,2026-05-16,8398,5,24.04,2026-05
LI-5004,2026-05-13,24912,36,89.65,2026-05
LI-5002,2026-05-03,13415,18,32.24,2026-05
LI-5008,2026-06-23,5295,6,19.44,2026-06
LI-5013,2026-04-22,6519,9,23.0,2026-04
LI-5014,2026-04-21,13582,11,46.74,2026-04
LI-5103,2026-05-19,3457,4,10.91,2026-05
LI-5004,2026-04-14,34949,62,110.77,2026-04
LI-5005,2026-06-08,3432,5,14.0,2026-06
LI-5101,2026-05-12,7094,12,14.75,2026-05
LI-5005,2026-06-06,4748,9,9.47,2026-06
LI-5012,2026-04-14,11798,13,35.17,2026-04
LI-5101,2026-04-13,5152,2,11.55,2026-04
LI-5007,2026-05-06,12821,26,22.26,2026-05
LI-5008,2026-05-09,8361,8,14.75,2026-05
LI-5010,2026-06-29,50804,77,209.4,2026-06
LI-5016,2026-06-01,35527,63,141.49,2026-06
LI-5006,2026-06-08,47090,94,75.41,2026-06
LI-5102,2026-06-18,7848,12,12.62,2026-06
LI-5006,2026-06-25,40186,19,75.38,2026-06
LI-5009,2026-05-12,17055,27,35.09,2026-05
LI-5007,2026-04-14,9099,10,28.01,2026-04
LI-5010,2026-04-15,31757,14,79.08,2026-04
LI-5105,2026-06-29,6813,11,21.26,2026-06
LI-5008,2026-05-31,9771,12,25.64,2026-05
LI-5003,2026-04-08,11676,8,25.58,2026-04
LI-5010,2026-05-03,25185,32,61.01,2026-05
LI-5015,2026-06-01,5874,4,18.45,2026-06
LI-5013,2026-06-02,4178,6,10.7,2026-06
LI-5006,2026-06-16,44401,88,183.86,2026-06
LI-5014,2026-05-19,15119,28,45.08,2026-05
LI-5004,2026-06-01,24857,33,99.14,2026-06
LI-5102,2026-05-09,7320,4,23.11,2026-05
LI-5002,2026-05-04,7186,12,11.85,2026-05
LI-5015,2026-06-18,11804,20,25.67,2026-06
LI-5105,2026-06-02,8971,8,26.56,2026-06
LI-5004,2026-04-03,35190,14,78.72,2026-04
LI-5106,2026-06-20,7915,16,28.22,2026-06
LI-5006,2026-05-19,36481,47,108.17,2026-05
LI-5001,2026-06-12,51685,106,95.08,2026-06
LI-5013,2026-06-15,5366,10,12.55,2026-06
LI-5103,2026-05-04,3659,6,14.62,2026-05
LI-5003,2026-04-03,15114,27,59.57,2026-04
LI-5105,2026-06-06,7807,7,20.78,2026-06
LI-5001,2026-05-06,46354,33,135.5,2026-05
LI-5105,2026-05-16,5141,7,10.5,2026-05
LI-5010,2026-04-14,25506,21,53.07,2026-04
LI-5999,2026-04-18,30777,18,84.68,2026-04
LI-5002,2026-04-14,11280,7,44.61,2026-04
LI-5106,2026-06-15,6760,12,16.13,2026-06
LI-5005,2026-05-28,4340,2,7.78,2026-05
LI-5010,2026-04-24,23658,48,41.9,2026-04
LI-5104,2026-06-20,4039,2,11.14,2026-06
LI-5013,2026-04-15,6177,6,25.78,2026-04
LI-5011,2026-04-10,6643,5,24.06,2026-04
LI-5006,2026-04-04,62059,111,197.95,2026-04
LI-5104,2026-05-22,3226,6,8.18,2026-05
LI-5103,2026-05-21,3089,3,7.78,2026-05
LI-5005,2026-06-20,7398,3,30.83,2026-06
LI-5010,2026-05-01,38659,46,111.02,2026-05
LI-5102,2026-04-20,8567,17,22.38,2026-04
LI-5011,2026-06-30,5910,8,12.56,2026-06
LI-5003,2026-06-19,19761,26,57.71,2026-06
LI-5101,2026-05-18,8131,10,33.48,2026-05
LI-5105,2026-06-30,4971,8,9.65,2026-06
LI-5106,2026-05-08,5422,10,11.85,2026-05
LI-5011,2026-05-13,9589,8,27.41,2026-05
LI-5002,2026-06-21,8764,16,36.09,2026-06
LI-5103,2026-05-26,4326,5,8.02,2026-05
LI-5003,2026-05-24,13203,21,50.67,2026-05
LI-5005,2026-06-12,7048,6,16.29,2026-06
LI-5008,2026-04-13,9047,13,17.94,2026-04
LI-5101,2026-06-17,8830,17,14.99,2026-06
LI-5004,2026-04-10,29906,36,123.52,2026-04
LI-5010,2026-06-14,26710,13,54.57,2026-06
LI-5006,2026-05-11,55541,112,175.52,2026-05
LI-5013,2026-05-31,5168,2,12.36,2026-06
LI-5008,2026-04-24,9744,15,32.48,2026-04
LI-5004,2026-04-28,32889,44,103.22,2026-04
LI-5005,2026-06-17,6676,4,14.03,2026-06
LI-5011,2026-05-31,4915,8,17.94,2026-06
LI-5103,2026-04-18,4363,5,14.29,2026-04
LI-5015,2026-05-07,9764,4,15.85,2026-05
LI-5003,2026-04-16,20694,26,41.7,2026-04
LI-5105,2026-05-28,6021,10,21.28,2026-05
LI-5014,2026-04-16,14967,29,57.63,2026-04
LI-5008,2026-04-30,4839,6,11.26,2026-04
LI-5105,2026-04-08,5561,7,10.75,2026-04
LI-5101,2026-06-08,8718,10,33.08,2026-06
LI-5004,2026-06-02,43467,86,172.77,2026-06
LI-5006,2026-05-08,63724,87,156.98,2026-05
LI-5012,2026-05-11,24280,42,49.12,2026-05
LI-5008,2026-06-04,7341,13,30.24,2026-06
LI-5012,2026-04-22,17118,17,40.84,2026-04
LI-5011,2026-06-22,5841,10,11.22,2026-06
LI-5105,2026-06-03,6239,6,21.14,2026-06
LI-5010,2026-04-13,22492,12,50.71,2026-04
LI-5105,2026-06-22,7648,14,31.65,2026-06
LI-5008,2026-05-21,8930,12,23.83,2026-05
LI-5101,2026-05-22,3977,3,9.36,2026-05
LI-5103,2026-04-10,4547,8,10.22,2026-04
LI-5003,2026-06-16,14533,7,30.64,2026-06
LI-5006,2026-06-19,52126,100,109.9,2026-06
LI-5006,2026-06-18,49616,44,198.41,2026-06
LI-5006,2026-05-25,50851,71,90.59,2026-05
LI-5106,2026-06-29,10339,5,18.62,2026-06
LI-5004,2026-05-20,32840,33,60.83,2026-05
LI-5101,2026-05-29,6166,2,10.31,2026-05
LI-5013,2026-04-26,3968,7,7.83,2026-04
LI-5002,2026-05-28,8515,15,27.83,2026-05
LI-5105,2026-05-21,8134,3,25.71,2026-05
LI-5015,2026-04-25,11836,19,36.93,2026-04
LI-5015,2026-04-10,8820,4,27.57,2026-04
LI-5016,2026-06-08,12091,11,45.91,2026-06
LI-5106,2026-04-27,4956,4,18.89,2026-04
LI-5005,2026-04-29,5755,6,12.46,2026-04
LI-5007,2026-06-01,13880,27,57.27,2026-06
LI-5001,2026-05-11,43328,89,136.1,2026-05
LI-5014,2026-05-10,7979,4,17.28,2026-05
LI-5016,2026-06-22,25401,11,89.11,2026-06
LI-5002,2026-05-31,8140,16,24.39,2026-05
LI-5106,2026-04-12,9274,18,17.26,2026-04
LI-5007,2026-05-14,10894,17,35.08,2026-05
LI-5015,2026-05-21,4266,4,13.75,2026-05
LI-5012,2026-06-14,14445,25,60.54,2026-06
LI-5101,2026-04-18,9818,20,16.05,2026-04
LI-5103,2026-05-07,4360,6,17.09,2026-05
LI-5012,2026-04-13,21941,11,45.36,2026-04
LI-5106,2026-04-17,6949,7,29.12,2026-04
LI-5101,2026-04-26,5240,4,14.47,2026-04
LI-5106,2026-05-05,10449,20,40.3,2026-05
LI-5013,2026-05-11,7694,10,23.67,2026-05
LI-5103,2026-04-19,2479,2,6.34,2026-04
LI-5106,2026-05-20,9171,9,35.19,2026-05
LI-5010,2026-05-26,20909,31,45.72,2026-05
LI-5006,2026-05-17,45154,49,123.19,2026-05
LI-5004,2026-04-07,20194,9,84.23,2026-04
LI-5009,2026-04-04,27206,37,110.09,2026-04
LI-5003,2026-06-05,16656,6,42.05,2026-06
LI-5005,2026-06-28,5642,5,20.6,2026-06
LI-5106,2026-06-14,11075,8,39.87,2026-06
LI-5106,2026-05-11,11425,18,31.36,2026-05
LI-5010,2026-05-11,23776,32,40.6,2026-05
LI-5105,2026-05-01,4261,2,17.75,2026-05
LI-5001,2026-05-05,46609,57,157.23,2026-05
LI-5013,2026-06-01,6379,3,14.53,2026-06
LI-5104,2026-05-14,2923,3,8.97,2026-05
LI-5003,2026-04-21,10061,16,37.3,2026-04
LI-5008,2026-06-26,6026,5,14.87,2026-06
LI-5001,2026-06-24,35037,57,67.86,2026-06
LI-5014,2026-05-24,12219,17,45.24,2026-05
LI-5014,2026-06-24,13272,24,27.85,2026-06
LI-5015,2026-04-19,14401,21,25.53,2026-04
LI-5006,2026-05-20,49932,56,197.29,2026-05
LI-5015,2026-04-26,13890,24,40.61,2026-04
LI-5005,2026-04-23,7874,15,25.43,2026-04
LI-5101,2026-06-15,7231,3,12.45,2026-06
LI-5105,2026-06-26,5374,7,19.92,2026-06
LI-5010,2026-05-07,35506,56,134.78,2026-05
LI-5102,2026-06-25,5532,2,18.99,2026-06
LI-5101,2026-05-16,9655,17,21.78,2026-05
LI-5011,2026-04-03,8038,15,13.37,2026-04
LI-5008,2026-04-18,7507,7,16.22,2026-04
LI-5104,2026-04-23,3124,5,10.98,2026-04
LI-5104,2026-06-06,3427,3,13.93,2026-06
LI-5106,2026-06-19,10106,13,25.8,2026-06
